,pregunta_id,clasificacion_tipo,clasificacion
0,172,aprendizaje esperado,AE 09
1,172,actitud LGE,OA A
2,172,indicador LOCE,<p>Utilizan modelos dados de función cuadrática para resolver problemas relativos a situaciones de cambio cuadrático.</p>
3,172,unidad LOCE,Álgebra
4,172,eje temático,Álgebra
5,172,habilidad cognitiva,"Análisis, Síntesis y Evaluación"
6,172,suficiencia,no suficiencia
7,172,curso PSU,Tercero Medio
8,172,eje temático LGE,Álgebra y funciones
9,172,unidad LGE,Unidad 2
10,172,objetivo de aprendizaje,OA 4 
11,172,indicador LGE,"Resuelven algebraicamente las ecuaciones cuadráticas mediante varios métodos, como factorizar, completar al cuadrado y aplicar la fórmula."
12,172,habilidad cognitiva LGE,Resolver problemas
13,172,objetivo de aprendizaje,OA A 
14,172,dificultad,Difícil
15,172,curso,Segundo Medio
16,172,nivel 1 prueba de transición,Álgebra y funciones
17,172,nivel 2 prueba de transición,Ecuaciones de segundo grado
18,172,nivel 3 prueba de transición,Resolución de ecuaciones de segundo grado.
19,172,habilidad prueba de transición,Aplicar
20,172,dificultad,Media
21,172,Subtemas_mx,Resuelve problemas de potencias con exponente entero y aproxima raíces cuadradas.
22,172,Temas_mx,Multiplicación y división
23,172,Bloque_mx,"Número, álgebra y variación"
24,172,Curso MX,Segundo de secundaria
25,172,Subtemas_mx,Resuelve problemas de potencias con exponente entero y aproxima raíces cuadradas.
26,172,Temas_mx,Multiplicación y división
27,172,Bloque_mx,"Número, álgebra y variación"
28,172,Curso MX,Segundo de secundaria
29,172,Evidencias de aprendizaje_CO,Establece conjeturas apoyándose en las propiedades y relaciones de los números reales al resolver una situación problema.
30,172,Derechos básicos de aprendizaje_CO,Expresiones algebraicas con números reales
31,172,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
32,172,eje tematico colombia,Números y operaciones   
33,172,Evidencias de aprendizaje_CO,"Reconoce en expresiones algebraicas las variables, opera con ellas y sobre ellas"
34,172,Derechos básicos de aprendizaje_CO,"Expresiones numéricas, algebraicas o gráficas"
35,172,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
36,172,eje tematico colombia,Patrones y Álgebra   
37,172,Evidencias de aprendizaje_CO,Propone conjeturas sobre configuraciones geométricas o numéricas y las expresa verbal o simbólicamente.
38,172,Derechos básicos de aprendizaje_CO,"Problemas numéricos, geométricos y métricos"
39,174,suficiencia,no suficiencia
40,174,dificultad,Media
41,174,nivel 1 prueba de transición,Álgebra y funciones
42,174,nivel 2 prueba de transición,Expresiones algebraicas
43,174,nivel 3 prueba de transición,Productos notables.
44,174,habilidad prueba de transición,Aplicar
45,174,Subtemas_mx,Resuelve problemas de multiplicación y división con fracciones y decimales positivos.
46,174,Temas_mx,Multiplicación y división
47,174,Bloque_mx,"Número, álgebra y variación"
48,174,Curso MX,Segundo de secundaria
49,174,curso,Primero Medio
50,174,Evidencias de aprendizaje_CO,"Construye representaciones geométricas y numéricas de los números reales (con decimales, raíces, razones, entre otros) y realiza conversiones entre ellas."
51,174,Derechos básicos de aprendizaje_CO,Números reales
52,174,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
53,174,eje tematico colombia,Números y operaciones   
54,174,eje temático LGE,Álgebra y funciones
55,174,unidad LGE,Unidad 2
56,174,habilidad cognitiva LGE,Resolver problemas
57,174,objetivo de aprendizaje,OA 3 
58,174,objetivo de aprendizaje,OA B 
59,174,indicador LGE,Aplican los productos notables en el desarrollo de expresiones algebraicas.
60,441,aprendizaje esperado,AE 02
61,441,componente,Componente numérico-variacional (9)
62,441,nivel colombia,Noveno
63,441,unidad LOCE,Números
64,441,eje temático,Números
65,441,habilidad cognitiva,Aplicación
66,441,suficiencia,no suficiencia
67,441,curso PSU,Primero Medio
68,441,eje temático LGE,Números
69,441,unidad LGE,Unidad 1
70,441,objetivo de aprendizaje,OA 2 
71,441,indicador LGE,Reconocen que la potencia de potencia es una multiplicación iterativa.
72,441,habilidad cognitiva LGE,Resolver problemas
73,441,objetivo de aprendizaje,OA A 
74,441,dificultad,Fácil
75,441,curso,Primero Medio
76,441,nivel 1 prueba de transición,Números
77,441,nivel 2 prueba de transición,"Potencias, raíces enésimas y logaritmos"
78,441,nivel 3 prueba de transición,Propiedades de las potencias de base racional y exponente racional.
79,441,habilidad prueba de transición,Aplicar
80,441,Subtemas_mx,"Resuelve problemas de suma y resta con números enteros, fracciones y decimales positivos y negativos."
81,441,Temas_mx,Adición y sustracción
82,441,Bloque_mx,"Número, álgebra y variación"
83,441,Curso MX,Primero de secundaria
84,441,Subtemas_mx,"Resuelve problemas de suma y resta con números enteros, fracciones y decimales positivos y negativos."
85,441,Temas_mx,Adición y sustracción
86,441,Bloque_mx,"Número, álgebra y variación"
87,441,Curso MX,Primero de secundaria
88,441,Evidencias de aprendizaje_CO,"Construye representaciones geométricas y numéricas de los números reales (con decimales, raíces, razones, entre otros) y realiza conversiones entre ellas."
89,441,Derechos básicos de aprendizaje_CO,Números reales
90,441,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
91,441,eje tematico colombia,Números y operaciones   
92,508,dificultad,Media
93,508,suficiencia,no suficiencia
94,508,mención,Común
95,508,curso,Segundo Medio
96,508,habilidad cognitiva,Aplicación
97,508,objetivo de aprendizaje,OA 4 
98,508,eje temático LGE,Álgebra y funciones
99,508,actitud LGE,OA A
100,508,objetivo de aprendizaje,OA 5 
101,508,sub eje tematico,Ecuaciones de segundo grado
102,508,eje temático,Álgebra
103,508,curso PSU,Segundo Medio
104,508,nivel 2 prueba de transición,Ecuaciones de segundo grado
105,508,nivel 1 prueba de transición,Álgebra y funciones
106,508,nivel 3 prueba de transición,Resolución de ecuaciones de segundo grado.
107,508,habilidad prueba de transición,Aplicar
108,508,Subtemas_mx,Resuelve problemas de potencias con exponente entero y aproxima raíces cuadradas.
109,508,Temas_mx,Multiplicación y división
