epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.73054343,0.7087039,0.25555128801296645,0.71373016,0.55066496,0.74134743,0.7181561,0.2495225476367133,0.72643447,0.55949515
1,0.7309565,0.7084609,0.25885533999167215,0.71321875,0.550804,0.7456764,0.7208521,0.2616732793727091,0.72504824,0.5778044
2,0.73165905,0.70892686,0.2540704032631733,0.7141076,0.5527396,0.73736966,0.7177456,0.26491555398596184,0.7297211,0.5555825
3,0.73083353,0.70865196,0.2566331026933653,0.714112,0.55274385,0.7414535,0.71692294,0.25808119028806686,0.7278451,0.565352
4,0.72994596,0.70786977,0.2579807456699722,0.7135724,0.5519454,0.74054813,0.7178164,0.25286927739424364,0.72003055,0.5641504
5,0.7316208,0.7093244,0.26220070186484556,0.7144256,0.5526039,0.7397277,0.7163093,0.26243253238499165,0.722724,0.5679603
6,0.73025787,0.70753807,0.25625758340807775,0.71288615,0.5507209,0.7421029,0.71906483,0.27964955089347704,0.7251726,0.56979847
7,0.7324829,0.7096434,0.25816840665089175,0.7137603,0.5533696,0.73812145,0.71571857,0.2650744952261448,0.7286901,0.55113894
8,0.7316091,0.70839036,0.25033749633305813,0.7135288,0.55038995,0.7465407,0.7209645,0.24797967302479915,0.73374146,0.57190275
9,0.73232853,0.7095889,0.2601099725929611,0.71377784,0.5562014,0.74434084,0.71820784,0.263519092596003,0.7245506,0.5698707
